name,division,date_fallen,description,english_name,image_url,location,job,tag,custom-number,formatted_fallen_date,rank
אוריאל פרץ,חטיבת כפיר,"נפל בכ""ט בכסלו התשפ""ה (30 בדצמבר 2024)","סמל אוריאל פרץ, מביתר עילית, לוחם בגדוד נצח יהודה (97), חטיבת כפיר, נפל בקרב בצפון רצועת עזה, בן 23 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Uriel Peretz z""l",,https://idf.il/media/ycdj2ff4/אוריאל-פרץ-זל.jpeg,ביתר עילית,לוחם בגדוד נצח יהודה (97),נפל בקרב בצפון רצועת עזה,23,2024-01-30,סמל
"סמ""ר יובל שהם",עוצבת עקבות הברזל (401),"נפל בכ""ח בכסלו התשפ""ה (29 בדצמבר 2024)","סמ""ר יובל שהם, מירושלים, לוחם שריון בגדוד 9, עוצבת 'עקבות הברזל' (401), נפל בקרב בצפון רצועת עזה, בן 22 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergeant Yuval Shoham z""l",,https://idf.il/media/0wvhug1g/278954ed-6866-4d0e-8a98-59037200c1f6.jpeg,ירושלים,לוחם שריון בגדוד 9,נפל בקרב בצפון רצועת עזה,22,2024-01-29,
"רס""ן הוד שרייבמן",היחידה הרב-ממדית (888),"נפל בכ""ה בכסלו התשפ""ה (26 בדצמבר 2024)","רס""ן הוד שרייבמן, מצופית, מפקד פלגה ביחידה הרב ממדית (888), נפל בקרב בצפון רצועת עזה, בן 27 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Major Hod Shriebman z""l",,https://idf.il/media/wqdj4ysg/הוד.jpeg,צופית,מפקד פלגה ביחידה הרב ממדית (888),נפל בקרב בצפון רצועת עזה,27,2024-01-26,
עמית לוי,עוצבת חצי האש (551),"נפל בכ""ה בכסלו התשפ""ה (26 בדצמבר 2024)","סרן (במיל') עמית לוי, משומריה, מפקד צוות בגדוד סיור 6551, עוצבת חצי האש (551), נפל בקרב במרכז רצועת עזה, בן 35 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Captain Amit Levi z""l",,https://idf.il/media/igwf352h/עמית-לוי.jpg,שומריה,מפקד צוות בגדוד סיור 6551,נפל בקרב במרכז רצועת עזה,35,2024-01-26,סרן
הלל דינר,חטיבת כפיר,"נפל בכ""ב בכסלו התשפ""ה (23 בדצמבר 2024)","רס""ל (במיל') הלל דינר, מטלמון, לוחם בגדוד שמשון (92), חטיבת כפיר, נפל בקרב בצפון רצועת עזה, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמ""ר לדרגת רס""ל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant first class (res.) Hillel Diener z""l",,https://idf.il/media/eb3cek0u/whatsapp-image-2024-12-23-at-19-58-07.jpeg,טלמון,לוחם בגדוד שמשון (92),נפל בקרב בצפון רצועת עזה,21,2024-01-23,"רס""ל"
"סמ""ר נתנאל פסח",חטיבת כפיר,"נפל בכ""ב בכסלו התשפ""ה (23 בדצמבר 2024)","סמ""ר נתנאל פסח, מאלעזר, לוחם בגדוד שמשון (92), חטיבת כפיר, נפל בקרב בצפון רצועת עזה, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergeant Netanel Pessach z""l",,https://idf.il/media/ohrppaq5/whatsapp-image-2024-12-23-at-19-17-21.jpeg,אלעזר,לוחם בגדוד שמשון (92),נפל בקרב בצפון רצועת עזה,21,2024-01-23,
איליי גבריאל אטדגי,חטיבת כפיר,"נפל בכ""ב בכסלו התשפ""ה (23 בדצמבר 2024)","סרן איליי גבריאל אטדגי, מקרית מוצקין, סגן מפקד פלוגה בגדוד שמשון (92), חטיבת כפיר, נפל בקרב בצפון רצועת עזה, בן 22 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סגן לדרגת סרן לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Captain Ilay Gavriel Atedgi z""l",,https://idf.il/media/js1m5y0u/whatsapp-image-2024-12-23-at-19-07-57.jpeg,קרית מוצקין,סגן מפקד פלוגה בגדוד שמשון (92),נפל בקרב בצפון רצועת עזה,22,2024-01-23,סרן
אלכסנדר אנוסוב,"חטיבת הנח""ל","נפל בט""ז בכסלו התשפ""ה (16 בדצמבר 2024)","רס""ל (במיל') אלכסנדר אנוסוב, ממודיעין-מכבים-רעות, מפקד כיתה בגדוד הנדסה 7107, חטיבת הנח""ל, נפל בקרב בדרום רצועת עזה, בן 26 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant first class (res.) Alexander Anosov z""l",,https://idf.il/media/w4ha1fv1/אלכסנדר-אנוסוב.jpg,מודיעין-מכבים-רעות,מפקד כיתה בגדוד הנדסה 7107,נפל בקרב בדרום רצועת עזה,26,2024-01-16,"רס""ל"
"רס""ן  מושיקו (מקסים) רוזנוולד","חטיבת הנח""ל","נפל בט""ז בכסלו התשפ""ה (16 בדצמבר 2024)","רס""ן (במיל') מושיקו (מקסים) רוזנוולד, ממודיעין-מכבים-רעות, מפקד פלוגה בגדוד הנדסה 7107, חטיבת הנח""ל, נפל בקרב בדרום רצועת עזה, בן 35 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Major (res.) Moshiko Maxim Rozenwald z""l",,https://idf.il/media/apkn0njh/whatsapp-image-2024-12-17-at-10-17-57.jpeg,מודיעין-מכבים-רעות,מפקד פלוגה בגדוד הנדסה 7107,נפל בקרב בדרום רצועת עזה,35,2024-01-16,
"סמ""ר עידו ז'נו",חטיבת גבעתי,"נפל בח' בכסלו התשפ""ה (09 בדצמבר 2024)","סמ""ר עידו ז'נו, מיהוד-מונסון, חובש קרבי בגדוד שקד, חטיבת גבעתי, נפל בקרב בצפון רצועת עזה, בן 20 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergeant Ido Zano z""l",,https://idf.il/media/1rvmvolv/עידו-ז-נו.jpg,יהוד-מונסון,חובש קרבי בגדוד שקד,נפל בקרב בצפון רצועת עזה,20,2024-01-09,
עמרי כהן,חטיבת גבעתי,"נפל בח' בכסלו התשפ""ה (09 בדצמבר 2024)","סמל עמרי כהן, מאשדוד, לוחם בגדוד שקד, חטיבת גבעתי, נפל בקרב בצפון רצועת עזה, בן 19 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Omri Cohen z""l",,https://idf.il/media/slkl1ucf/עמרי-כהן-זל.jpg,אשדוד,לוחם בגדוד שקד,נפל בקרב בצפון רצועת עזה,19,2024-01-09,סמל
"סמ""ר ברק דניאל הלפרן",חטיבת גבעתי,"נפל בח' בכסלו התשפ""ה (09 בדצמבר 2024)","סמ""ר ברק דניאל הלפרן, מקריית אונו, מפקד כיתה בגדוד שקד, חטיבת גבעתי, נפל בקרב בצפון רצועת עזה, בן 19 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Staff sergeant Barak Daniel Halpern z""l",,https://idf.il/media/2yrblpmw/ברק-דניאל-הלפרן-זל.jpg,קריית אונו,מפקד כיתה בגדוד שקד,נפל בקרב בצפון רצועת עזה,19,2024-01-09,
שגיא יעקב רובינשטיין,חטיבה 226,"נפל בז' בכסלו התשפ""ה (08 בדצמבר 2024)","סרן (במיל') שגיא יעקב רובינשטיין, מלביא, מפקד מחלקה בגדוד חיר""ם 9263, חטיבה 226, נפל בקרב בדרום לבנון, בן 31 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Captain (res.) Sagi Ya'akov Rubinshtein z""l",,https://idf.il/media/abjjk0t4/sagi-ya-akov-rubinshtein.jpeg,לביא,"מפקד מחלקה בגדוד חיר""ם 9263",נפל בקרב בדרום לבנון,31,2024-01-08,סרן
ארז בן אפרים,חטיבה 226,"נפל בז' בכסלו התשפ""ה (08 בדצמבר 2024)","רס""ל (במיל') ארז בן אפרים, מרמת גן, לוחם בגדוד חיר""ם 9263, חטיבה 226, נפל בקרב בדרום לבנון, בן 25 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמ""ר לדרגת רס""ל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant first class (res.) Erez Ben Efraim z""l",,https://idf.il/media/yf2o1pfx/ארז-בן-אפרים-זל.jpeg,רמת גן,"לוחם בגדוד חיר""ם 9263",נפל בקרב בדרום לבנון,25,2024-01-08,"רס""ל"
"רס""ן  יבגני זינרשיין",חטיבה 226,"נפל בז' בכסלו התשפ""ה (08 בדצמבר 2024)","רס""ן (במיל') יבגני זינרשיין, מזכרון יעקב, מפקד פלוגה בגדוד חיר""ם 9263, חטיבה 226, נפל בקרב בדרום לבנון, בן 43 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Major (res.) Evgeny Zinershain z""l",,https://idf.il/media/a0fn0y1f/zinershain-evgeny.jpg,זכרון יעקב,"מפקד פלוגה בגדוד חיר""ם 9263",נפל בקרב בדרום לבנון,43,2024-01-08,
בנימין דסטאו נגוסה,חטיבה 226,"נפל בז' בכסלו התשפ""ה (08 בדצמבר 2024)","רס""ר (במיל') בנימין דסטאו נגוסה, מבית שמש, לוחם בגדוד חיר""ם 9263, חטיבה 226, נפל בקרב בדרום לבנון, בן 28 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Master sergeant (res.) Binyamin Destaw Negose z""l",,https://idf.il/media/15ap3sjv/בנימין-דסטאו-נגוסה-זל.jpeg,בית שמש,"לוחם בגדוד חיר""ם 9263",נפל בקרב בדרום לבנון,28,2024-01-08,"רס""ר"
אברהם בן פינחס,עוצבת עקבות הברזל (401),"נפל בו' בכסלו התשפ""ה (07 בדצמבר 2024)","סרן אברהם בן פינחס, מחרשה, מפקד מחלקה בגדוד 46, עוצבת ‘עקבות הברזל' (401), נפל בקרב בדרום רצועת עזה, בן 24 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סגן לדרגת סרן לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Captain Avraham Ben Pinchas z""l",,https://idf.il/media/5mfnj0kw/אברהם-פנחס-זל.jpeg,חרשה,מפקד מחלקה בגדוד 46,נפל בקרב בדרום רצועת עזה,24,2024-01-07,סרן
עומר מקסים נאוטרה,עוצבת סער מגולן (7),"נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סרן עומר מקסים נאוטרה, חייל בודד שעלה מניו יורק, מפקד מחלקת טנקים בגדוד 77, 'עוצבת סער מגולן' (7), חלל צה""ל חטוף בידי ארגון טרור, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סגן לדרגת סרן לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Captain Omer Maxim Neutra z""l",,https://idf.il/media/3iblczkn/עומר-מקסים-נאוטרה.jpg,חייל בודד שעלה מניו יורק,מפקד מחלקת טנקים בגדוד 77,,21,2023-01-07,סרן
"סמ""ר זמיר בורק",חיל ההנדסה הקרבית,"נפל בכ""ח במרחשוון התשפ""ה (29 בנובמבר 2024)","סמ""ר זמיר בורק, מבית שמש, מפקד כיתת צמ""ה בגדוד ההנדסה 601, עוצבת 'עקבות הברזל' (401), נפל בקרב בצפון רצועת עזה, בן 20 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Staff sergeant Zamir Burke z""l",,https://idf.il/media/elpfxxrm/זמיר-בורק.jpg,בית שמש,"מפקד כיתת צמ""ה בגדוד ההנדסה 601",נפל בקרב בצפון רצועת עזה,20,2024-01-29,
תאמר עוסמאן,חטיבת כפיר,"נפל בכ""ה במרחשוון התשפ""ה (26 בנובמבר 2024)","סמל תאמר עוסמאן, מכפר יאסיף, לוחם בגדוד נחשון (90), חטיבת כפיר, נפל בקרב בצפון רצועת עזה, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Tamer Othman z""l",,https://idf.il/media/tethlh3o/תאמר-עוסמאן.jpg,כפר יאסיף,לוחם בגדוד נחשון (90),נפל בקרב בצפון רצועת עזה,21,2024-01-26,סמל
יונה בצלאל בריף,עוצבת הקומנדו,"נפל בכ""ה במרחשוון התשפ""ה (26 בנובמבר 2024)","רס""ל יונה בצלאל בריף, ממודיעין-מכבים-רעות, חובש קרבי ביחידת דובדבן, עוצבת הקומנדו, נפטר לאחר שנפצע באורח קשה ב-7 באוקטובר 2023 בקרב בעוטף עזה, בן 23 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant first class Yona Betzalel Brief z""l",,https://idf.il/media/yyreltll/יונה-בצלאל-בריף.jpeg,מודיעין-מכבים-רעות,חובש קרבי ביחידת דובדבן,,23,2024-01-26,"רס""ל"
"סמ""ר רון אפשטיין",חטיבת גבעתי,"נפל בכ' במרחשוון התשפ""ה (21 בנובמבר 2024)","סמ""ר רון אפשטיין, מנשר, לוחם בגדוד צבר, חטיבת גבעתי, נפל בקרב בצפון רצועת עזה, בן 19 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergeant Ron Epshtein z""l",,https://idf.il/media/grgkyi10/רון-אפשטיין-זל.jpeg,נשר,לוחם בגדוד צבר,נפל בקרב בצפון רצועת עזה,19,2024-01-21,
גור קהתי,חטיבת גולני,"נפל בי""ט במרחשוון התשפ""ה (20 בנובמבר 2024)","סמל גור קהתי, מניר בנים, לוחם בגדוד 13, חטיבת גולני, נפל בקרב בדרום לבנון, בן 20 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Gur Kehati z""l",,https://idf.il/media/pvehn4s4/גור-קהתי.jpeg,ניר בנים,לוחם בגדוד 13,נפל בקרב בדרום לבנון,20,2024-01-20,סמל
"רס""ן  זאב חנוך ז'אבו ארליך",,"נפל בי""ט במרחשוון התשפ""ה (20 בנובמבר 2024)","רס""ן (במיל') זאב חנוך ז'אבו ארליך, מעופרה, נפל בקרב בדרום לבנון, בן 70 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Major (res.) Ze’ev Hanoch Jabo Erlich z""l",,https://idf.il/media/vmbiptyn/זאב-חנוך-ז-אבו-ארליך.jpg,עופרה,נפל בקרב בדרום לבנון,נפל בקרב בדרום לבנון,70,2024-01-20,
איתן בן עמי,עוצבת הקומנדו,"נפל בי""ט במרחשוון התשפ""ה (20 בנובמבר 2024)","רס""ל (במיל') איתן בן עמי, מירושלים, לוחם ביחידת המילואים של מגלן, עוצבת הקומנדו, נפל בקרב בדרום לבנון, בן 22 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant first class (res.) Eitan Ben Ami z""l",,https://idf.il/media/w0bdqsko/איתן-בן-עמי.jpg,ירושלים,לוחם ביחידת המילואים של מגלן,נפל בקרב בדרום לבנון,22,2024-01-20,"רס""ל"
רואי ששון,חטיבת כפיר,"נפל בי""ח במרחשוון התשפ""ה (19 בנובמבר 2024)","רס""ל (במיל') רואי ששון, ממבשרת ציון, לוחם בגדוד נחשון (90), חטיבת כפיר, נפל בקרב בצפון רצועת עזה, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמ""ר לדרגת רס""ל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant first class (res.) Roi Sasson z""l",,https://idf.il/media/yqcnlo3l/רועי-ששון-זל.jpeg,מבשרת ציון,לוחם בגדוד נחשון (90),נפל בקרב בצפון רצועת עזה,21,2024-01-19,"רס""ל"
עמר משה גאלדור,חטיבת גולני,"נפל בי""ח במרחשוון התשפ""ה (19 בנובמבר 2024)","רס""ל (במיל') עמר משה גאלדור, מירושלים, לוחם ביחס""ם (5111), חטיבת גולני, נפל בקרב בדרום לבנון, בן 30 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמ""ר לדרגת רס""ל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant first class (res.) Omer Moshe Gealdor z""l",,https://idf.il/media/2fmejt0f/omer-moshe-gaeldor.jpeg,ירושלים,"לוחם ביחס""ם (5111)",נפל בקרב בדרום לבנון,30,2024-01-19,"רס""ל"
"סמ""ר נועם איתן",חטיבת כפיר,"נפל בט""ז במרחשוון התשפ""ה (17 בנובמבר 2024)","סמ""ר נועם איתן, מחדרה, לוחם בגדוד נחשון (90), חטיבת כפיר, נפל בקרב בצפון רצועת עזה, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Staff sergeant Noam Eitan z""l",,https://idf.il/media/ht2oe5to/נועם-איתן.jpg,חדרה,לוחם בגדוד נחשון (90),נפל בקרב בצפון רצועת עזה,21,2024-01-17,
יוגב פזי,חטיבת כפיר,"נפל בט""ז במרחשוון התשפ""ה (17 בנובמבר 2024)","סרן יוגב פזי, מגבעות בר, מפקד מחלקה בגדוד נחשון (90), חטיבת כפיר, נפל בקרב בצפון רצועת עזה, בן 22 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סגן לדרגת סרן לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Captain Yogev Pazy z""l",,https://idf.il/media/t14donjf/יוגב-פזי.jpg,גבעות בר,מפקד מחלקה בגדוד נחשון (90),נפל בקרב בצפון רצועת עזה,22,2024-01-17,סרן
עידן קינן (כהן),חטיבת כפיר,"נפל בט""ו במרחשוון התשפ""ה (16 בנובמבר 2024)","רס""ל (במיל') עידן קינן (כהן), מרמת גן, לוחם בגדוד נחשון (90), חטיבת כפיר, נפל בקרב בצפון רצועת עזה, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמ""ר לדרגת רס""ל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant first class (res.) Idan Kenan z""l",,https://idf.il/media/4y4ia2bd/עידן-קינן-זל.jpeg,רמת גן,לוחם בגדוד נחשון (90),נפל בקרב בצפון רצועת עזה,21,2024-01-16,"רס""ל"
אורי ניסנוביץ,חטיבת גולני,"נפל בי""ד במרחשוון התשפ""ה (15 בנובמבר 2024)","סמל אורי ניסנוביץ, מירושלים, לוחם בגדוד 13, חטיבת גולני, נפל בקרב בדרום לבנון, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Ori Nisanovich z""l",,https://idf.il/media/rpyktq0y/אורי-ניסנוביץ.jpeg,ירושלים,לוחם בגדוד 13,נפל בקרב בדרום לבנון,21,2024-01-15,סמל
עברי דיקשטיין,חטיבת גולני,"נפל בי""ג במרחשוון התשפ""ה (14 בנובמבר 2024)","סגן עברי דיקשטיין, מעלי, מפקד מחלקה בגדוד 51, חטיבת גולני, נפל בקרב בדרום לבנון, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סג""ם לדרגת סגן לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Lieutenant Ivri Dickshtein z""l",,https://idf.il/media/404mr1xo/ivri-dickshtein.jpg,עלי,מפקד מחלקה בגדוד 51,נפל בקרב בדרום לבנון,21,2024-01-14,סגן
יואב דניאל,חטיבת גולני,"נפל בי""ב במרחשוון התשפ""ה (13 בנובמבר 2024)","סמל יואב דניאל, מנהריה, לוחם בגדוד 51, חטיבת גולני, נפל בקרב בדרום לבנון, בן 19 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Yoav Daniel z""l",,https://idf.il/media/giydg54q/יואב-דניאל-זל.jpeg,נהריה,לוחם בגדוד 51,נפל בקרב בדרום לבנון,19,2024-01-13,סמל
